3_years_annualised_%_,on_going_charge_%_,name,asset_class
6.53,0.91,Templeton Global Total Return Fund W(Mdis)GBP,–
5.28,0.79,Templeton Global Total Return Bond Fund W(inc),Bonds
5.3,0.79,Templeton Global Total Return Bond Fund W(acc),Bonds
5.05,0.9,Capital Group Emerging Markets Local Currency Debt Fund (LUX) Zd GBP,Bonds
7.34,0.97,Schroder Asian Income Maximiser Z Income GBP,Asia and Emerging Markets
7.62,0.91,Capital Group Global High Income Opportunities (LUX) Zgd GBP,Bonds
6.89,0.9,Templeton Global Bond Fund W(Mdis)GBP,Bonds
7.36,0.97,Schroder Asian Income Maximiser Z Accumulation GBP,Asia and Emerging Markets
4.28,0.72,Schroder High Yield Opportunities Fund Z Income GBP,Bonds
5.27,0.7,Invesco High Yield Fund (UK) Y (Inc),Bonds
5.58,0.79,Threadneedle Emerging Market Local Fund Z Income GBP,Bonds
4.26,0.72,Schroder High Yield Opportunities Fund Z Accumulation GBP,Bonds
5.27,0.7,Invesco High Yield Fund (UK) Y (Acc),Bonds
4.87,0.88,TB Wise Multi-Asset Income B Inc,Alternatives and Other
8.03,0.75,M&G Emerging Markets Bond Fund Sterling I Inc,Bonds
6.12,0.76,Threadneedle Emerging Market Bond Fund Z Income GBP,Bonds
9.17,0.88,Janus Henderson Asian Dividend Income Unit Trust I Inc,Asia and Emerging Markets
4.88,0.88,TB Wise Multi-Asset Income B Acc,Alternatives and Other
9.13,0.88,Janus Henderson Asian Dividend Income Unit Trust I Acc,Asia and Emerging Markets
7.73,0.83,Royal London Sterling Extra Yield Bond Fund A,Bonds
9.07,0.88,Man GLG UK Income Fund Professional Accumulation Shares (Class C),UK
3.88,0.72,Artemis High Income Fund I Inc,Bonds
10.32,0.92,Legg Mason IF RARE Global Infrastructure Income Fund Class X Income,Global
4.76,0.57,AXA Global High Income Z Gross Inc,Bonds
9.1,0.88,Man GLG UK Income Fund Professional Income Shares (Class D),UK
3.42,0.35,Liontrust Monthly Income Bond Fund Class P Gross Income,Bonds
10.28,0.92,Legg Mason IF RARE Global Infrastructure Income Fund Class X Accumulation,Global
4.76,0.57,AXA Global High Income Z Gross Acc,Bonds
6.1,0.87,MI Chelverton UK Equity Income Fund B Income shares,UK
3.81,0.81,"
ASI European High Yield Bond Fund I Inc",Bonds
4.67,0.35,Legal & General Emerging Markets Government Bond (Local Currency) Index Fund I Class Distribution,Bonds
4.46,0.79,Kames High Yield Bond Fund GBP B Inc,Bonds
6.09,0.87,MI Chelverton UK Equity Income Fund B Accumulation shares,UK
4.73,0.6,AXA Framlington Managed Income Fund Z Gross GBP Inc,Bonds
8.08,0.75,M&G Emerging Markets Bond Fund Sterling I Acc,Bonds
3.81,0.81,"
ASI European High Yield Bond Fund I Acc",Bonds
4.44,0.79,Kames High Yield Bond Fund GBP B Acc,Bonds
6.86,1.25,Matthews Asia Funds - Asia Credit Opportunities Fund I GBP Dist,–
4.68,0.35,Legal & General Emerging Markets Government Bond (Local Currency) Index Fund I Class Accumulation,Bonds
3.08,0.55,Close Select Fixed Income Fund X Inc,Alternatives and Other
4.56,0.68,M&G Global High Yield Bond Fund Sterling I Inc,Bonds
3.73,0.72,Artemis High Income Fund I Monthly Inc,Bonds
3.32,1.54,BMO MM Navigator Distribution Fund C Inc,Alternatives and Other
18.75,0.87,AXA Framlington FinTechl Fund Z INC,Alternatives and Other
6.98,0.97,Liontrust Asia Income Fund I Inc,Asia and Emerging Markets
17.17,0.87,AXA Framlington FinTech Fund Z GBP Acc,Alternatives and Other
4.66,0.6,AXA Framlington Managed Income Fund Z Gross GBP Acc,Bonds
6.69,0.81,Unicorn UK Ethical Incomev Fund Class B Income,UK
4.54,0.82,Lazard Multicap UK Income Fund A Inc,UK
4.09,0.7,M&G UK Income Distribution Fund Sterling I Inc,Alternatives and Other
5.95,0.59,Kames Diversified Monthly Income Fund GBP B Inc,Alternatives and Other
4.47,0.81,LF Miton UK Multi Cap Income Fund B Income Institutional,UK
4.43,1.25,Premier Multi-Asset Monthly Income Fund C Income Shares,Alternatives and Other
4.53,0.82,Lazard Multicap UK Income Fund A Acc,UK
6.65,0.81,Unicorn UK Ethical Incomev Fund Class B Accumulation,UK
5.98,0.6,Kames Diversified Monthly Income Fund GBP B Acc,Alternatives and Other
4.42,0.83,Marlborough High Yield Fixed Interest Fund Class P Inc,Bonds
4.47,0.81,LF Miton UK Multi Cap Income Fund B Acc Institutional,UK
4.72,0.52,Franklin UK Equity Income Fund W(inc),UK
4.75,0.79,Hermes Global High Yield Credit Fund Class F GBP Distributing Hedged,Bonds
5.36,0.84,AXA Framlington Monthly Income Fund Z GBP Inc,UK
5.29,0.8,Discovery Balanced Fund C Sterling Net Income,Alternatives and Other
4.43,1.25,Premier Multi-Asset Monthly Income Fund C Acc,Alternatives and Other
2.93,0.62,Aviva Investors Managed High Income Fund 2 GBP Inc,Bonds
5.27,0.8,Discovery Balanced Fund C Sterling Net Accumulation,Alternatives and Other
8.34,0.75,NGAM Investment Funds U.K. ICVC - Loomis Sayles Strategic Income Fund N/D(GBP),Bonds
6.16,0.81,Unicorn UK Income B Inc,UK
4.08,0.66,MI TwentyFour AM Focus Bond Fund A Income Gross shares,Alternatives and Other
4.27,0.88,River and Mercantile UK Equity Income Fund B Inc,UK
7.7,0.93,BlackRock Continental European Income Fund D Inc,Europe
4.73,0.52,Franklin UK Equity Income Fund W(acc),UK
8.9,0.94,Fidelity Global Enhanced Income Fund W Inc,Global
3.09,0.94,Jupiter Income Trust I Inc,UK
8.89,0.94,Fidelity Global Enhanced Income Fund W Income Monthly,Global
4.56,0.81,Aviva Investors UK Listed Equity Income Fund 2 GBP Inc,UK
7.41,0.95,Jupiter Monthly Alternative Income I Inc,Alternatives and Other
7.69,0.93,BlackRock Continental European Income Fund D Acc,Europe
4.62,0.8,BlackRock UK Income Fund Class S GBP Income,UK
3.41,0.79,"
BNY Mellon Investment Funds - Newton UK Income Fund Institutional W Income",UK
4.65,0.91,Schroder Income Fund Z Income GBP,UK
4.78,0.67,Royal London UK Equity Income M,UK
5.18,0.81,BMO Responsible UK Income Fund 2 Inc,UK
5.71,1.85,"
Schroder International Selection Fund European Equity Yield A Distribution GBP AV",Europe
3.3,0.66,Schroder Strategic Credit Fund L Income GBP,Bonds
5.78,0.82,Artemis Income Fund I Inc,UK
4.56,0.81,Aviva Investors UK Listed Equity Income Fund 2 GBP Acc,UK
6.7,0.23,Invesco UK Enhanced Index Fund (UK) Y (Inc),UK
7.31,0.95,Jupiter Monthly Alternative Income I Acc,Alternatives and Other
4.69,0.77,MI TwentyFour AM Dynamic Bond Fund I Income shares,Bonds
4.82,0.73,Threadneedle High Yield Bond Fund Z Income GBP,Bonds
6.98,0.84,Investec UK Equity Income I Inc 2,UK
4.8,0.68,Royal London UK Equity Income M GBP Acc,UK
5.53,0.69,Janus Henderson Fixed Interest Monthly Income Fund I Acc,Bonds
5.3,0.85,Artemis Monthly Distribution Fund I Inc,Alternatives and Other
4.65,0.91,Schroder Income Fund Z Accumulation GBP,UK
4.85,0.56,BMO Multi-Sector Higher Income Bond Fund C Inc,Bonds
4.69,0.77,MI TwentyFour AM Dynamic Bond Fund I Accumulation shares,Bonds
6.73,1.35,Polar Capital Funds PLC - Polar Capital Global Convertible Fund I Income GBP,Alternatives and Other
5.78,0.82,Artemis Income Fund I Acc,UK
6.71,0.23,Invesco UK Enhanced Index Fund (UK) Y (Acc),UK
7.39,0.75,J O Hambro Capital Management UK Dynamic Fund Y GBP Inc,UK
7.06,0.86,Montanaro UK Income Fund GBP Class,UK
3.97,0.78,"
Rathbone Income Fund Institutional Acc",UK
8.22,0.95,Schroder Global Equity Income Fund Z Income GBP,Global
4.03,0.91,Fidelity Investment Funds IV - Fidelity Multi Asset Income Fund N Inc,Alternatives and Other
5.13,0.67,"
Rathbone Ethical Bond Fund Institutional Inc",Bonds
4.51,0.89,Aberdeen Standard SICAV I - Select Euro High Yield Bond Fund X MInc GBP,Bonds
4.57,0.68,M&G Global High Yield Bond Fund Sterling I Acc,Bonds
5.28,0.85,Artemis Monthly Distribution Fund I Acc,Alternatives and Other
5.37,0.84,AXA Framlington Monthly Income Fund Z GBP Acc,UK
5.69,0.74,"
BNY Mellon Investment Funds - Newton Multi-Asset Income Fund Institutional W Income",Alternatives and Other
4.47,0.82,Threadneedle UK Equity Income Fund Z Income GBP,UK
4.6,0.8,BlackRock UK Income Fund Class S GBP Accumulation,UK
4.01,0.87,Trojan Income Fund X Income,UK
7.53,0.83,Legal & General Asian Income Trust I Class Distribution,Asia and Emerging Markets
3.99,0.78,"
Rathbone Income Fund Institutional Inc",UK
5.79,0.07,iShares 100 UK Equity Index Fund (UK) D Acc,UK
5.77,0.7,"
M&G European High Yield Bond Fund Sterling I Inc",Bonds
2.8,0.62,Aviva Investors Higher Income Plus Fund 2 GBP Inc,Bonds
5.08,0.67,"
Rathbone Ethical Bond Fund Institutional Acc",Bonds
4.82,0.69,Janus Henderson Preference & Bond Fund I Inc,Bonds
8.23,0.95,Schroder Global Equity Income Fund Z Accumulation GBP,Global
5.69,0.74,"
BNY Mellon Investment Funds - Newton Multi-Asset Income Fund Institutional W Accumulation",Alternatives and Other
5.55,1.04,Capital Group Emerging Markets Total Opportunities (LUX) Zd GBP,Alternatives and Other
3.7,0.7,EdenTree Amity Sterling Bond Fund B Income,Bonds
4.46,0.82,Threadneedle UK Equity Income Fund Z Accumulation GBP,UK
8.18,0.99,Guinness Asian Equity Income Fund Class Y GBP Distribution,Asia and Emerging Markets
7.42,0.74,J O Hambro Capital Management UK Dynamic Fund Y GBP Acc,UK
7.52,0.83,Legal & General Asian Income Trust I Class Accumulation,Asia and Emerging Markets
7.38,0.63,Royal London UK Dividend Growth Fund M,UK
1.75,0.63,Aviva Investors Strategic Bond Fund 2 GBP Inc,Bonds
6.78,0.82,ASI Emerging Market Government Bond Fund Platform 1-Inc-GBP-Unhedged,Bonds
5.67,0.13,Legal & General (N) Tracker Trust I Class Distribution,UK
6.03,0.13,Legal & General UK Index Trust I Class Distribution,UK
4.81,0.69,Janus Henderson Preference & Bond Fund I Acc,Bonds
4.14,0.74,Jupiter Strategic Bond I Inc,Bonds
5.85,0.38,Baillie Gifford High Yield Bond Fund B Income,Bonds
4.21,0.94,Fidelity Investment Funds IV - Fidelity Multi Asset Balanced Income Fund N Inc,Alternatives and Other
5.85,0.96,Marlborough Extra Income Fund Class P Inc,Alternatives and Other
4.86,0.92,Rathbone Strategic Income Portfolio Accumulation,Alternatives and Other
3.5,0.87,HSBC World Selection - Interest Income Portfolio Income C,Alternatives and Other
2.81,1.52,"
HSBC World Selection - Interest Income Portfolio Retail Income",Alternatives and Other
4.25,0.84,Janus Henderson UK Responsible Income Fund I Inc,UK
4.34,0.62,Schroder Sterling Corporate Bond Fund Z Income GBP,Bonds
5.69,0.07,HSBC FTSE All Share Index Fund C Income,UK
